t,open,high,low,close,volume
2013-06-06,128.4775788115283,129.70497007312727,127.72042186443804,129.697,200064681.0
2013-06-07,130.58984192961165,131.46655127427184,130.02396589805824,131.347,185761019.0
2013-06-10,131.7534743325243,131.82520509708738,131.0042863470874,131.347,102542965.0
2013-06-11,130.15140159411405,131.13969147762108,129.70507713059473,129.992,159379607.0
2013-06-12,130.8846090880989,131.0201004018547,128.7964488408037,128.916,176962186.0
2013-06-13,128.84364021679556,131.10713111259972,128.5567188356373,130.876,163201480.0
2013-06-14,130.7324528128447,131.2425349307513,129.83980910650814,130.055,141018099.0
2013-06-17,130.9404487959134,131.6816662612503,130.08765020676233,131.06,136114269.0
2013-06-18,131.13162109327862,132.29525184023169,131.12365101966935,132.096,114592356.0
2013-06-19,131.98456775772405,132.21570015295197,130.21520942184154,130.271,205916944.0
2013-06-20,129.00363851944795,130.28682063989962,126.70825683814303,127.043,320785551.0
2013-06-21,127.90569158232223,128.0018371786006,126.16705871628842,127.449,271424782.0
2013-06-24,126.11842340506813,126.93565732840953,124.77239106074111,125.838,221849792.0
2013-06-25,126.97589102604528,128.27385255723024,126.12660755502301,127.048,161987972.0
2013-06-26,128.0896729112027,128.59443611839643,127.59292181840891,128.306,134713304.0
2013-06-27,129.07502421157187,129.65189582815992,128.9548426247827,129.059,129359801.0
2013-06-28,128.69825395835932,129.3151851390101,128.08132277770852,128.53,160158020.0
2013-07-01,129.2028791522062,130.18035349529,129.05866162617747,129.283,131657906.0
2013-07-02,129.09089113578563,130.03631846659638,128.5941411823088,129.163,144734577.0
2013-07-03,128.57803273809523,129.61159244791668,128.3697183779762,129.219,75216341.0
2013-07-05,130.17233535762483,130.66107250644092,129.23492148202675,130.613,122350267.0
2013-07-08,131.28589130832574,131.71053138151876,130.66094931381522,131.358,106842928.0
2013-07-09,132.1838183249561,132.46424223339187,131.61495839641495,132.304,119211370.0
2013-07-10,132.17573364005085,132.8006780071433,131.90332199285672,132.352,120332699.0
2013-07-11,133.89059991638797,134.29120610367895,132.34426003344484,134.155,135466463.0
2013-07-12,134.11485457584624,134.54750898453827,133.9065394901797,134.211,102638074.0
2013-07-15,134.5797816235504,134.91629116859943,134.34742979482604,134.724,69387788.0
2013-07-16,134.8118967287488,134.89201790830947,133.85845469197707,134.219,88590595.0
2013-07-17,134.73125382554332,134.98764060732358,134.38673408752604,134.563,91766311.0
2013-07-18,134.85132350328655,135.6204832119382,134.76319062000354,135.3,103461245.0
2013-07-19,135.02021233079154,135.58907270792693,134.85195785304725,135.541,103709128.0
2013-07-22,135.73289115044247,135.99729026548673,135.41240737463127,135.805,79307249.0
2013-07-23,136.04579992905286,136.06983628946435,135.44489091876554,135.517,80765520.0
2013-07-24,136.03753738428674,136.09362212200332,134.74758841680514,135.02,112811714.0
2013-07-25,134.7801384005209,135.46918202805895,134.55579861481087,135.349,111066858.0
2013-07-26,134.77992111643306,135.53306061143633,134.21907255632428,135.493,107750433.0
2013-07-29,135.14810890325643,135.45256871700576,134.69141918263242,135.076,79712464.0
2013-07-30,135.48461711845303,135.6288349249659,134.755515985527,135.076,85124833.0
2013-07-31,135.35627811036687,136.0853784600794,134.99573398138818,135.172,142329200.0
2013-08-01,136.19818733153642,136.85518194070082,136.12607816711594,136.735,110213653.0
2013-08-02,136.4301887101492,136.98302421760752,136.2459102076631,136.967,91009697.0
2013-08-05,136.6628423550088,136.97531528998243,136.4865755711775,136.767,53868607.0
2013-08-06,136.5017729923997,136.7982198786308,135.6845410357627,135.989,87403388.0
2013-08-07,135.55701211727154,135.74930293178863,135.04423661189267,135.549,84663314.0
2013-08-08,136.19021837455827,136.3504610129564,135.3489445229682,136.046,101940958.0
2013-08-09,135.8693269151261,136.285956529443,135.18028562990963,135.653,91824151.0
2013-08-12,134.97221205132752,135.65324244574535,134.90811507302936,135.493,68477641.0
2013-08-13,135.73275826896997,136.1253505099935,134.93154961381993,135.893,80689816.0
2013-08-14,135.82895507881946,136.04528149816284,135.16395164157873,135.196,79609123.0
2013-08-15,134.13024432023082,134.1462684817887,133.07264965741078,133.305,152647543.0
2013-08-16,133.04927877947296,133.50596966773202,132.60060001206054,132.865,130636116.0
2013-08-19,132.71205073739148,133.16873915154457,132.0069879225587,132.015,96330805.0
2013-08-20,132.23134774731244,133.16074888271527,132.08713032974995,132.664,89235551.0
2013-08-21,132.29567719980554,133.02477764948955,131.5505525644142,131.847,159343176.0
2013-08-22,132.11959592918225,133.2412904974106,132.11158382512346,133.049,101381277.0
2013-08-23,133.44191513623815,133.66625459128556,132.8169695114632,133.498,90872824.0
2013-08-26,133.63395656626506,134.04257409638555,132.9128668072289,133.001,89492894.0
2013-08-27,131.6872486377273,133.00123675993387,130.76585452764343,130.862,158359408.0
2013-08-28,130.80521481300713,131.79070062839364,130.63696113720945,131.326,107750295.0
2013-08-29,131.03824846196017,132.23205457757203,130.91806663824087,131.535,119032950.0
2013-08-30,131.80704051329053,131.82306471127404,130.73341924839596,131.118,134740736.0
